All Temperatures (Celsius) Between 3.0 and 4.0 in the World
Temperature, Year, Month_Avg, Country, Country_Code
3.0(C) 37.41(F), 2004, Jan, Belgium, BEL
3.0(C) 37.41(F), 2004, Dec, Croatia, HRV
3.01(C) 37.42(F), 2007, Nov, Moldova, MDA
3.01(C) 37.42(F), 2007, Oct, Iceland, ISL
3.01(C) 37.42(F), 2010, Dec, Andorra, AND
3.01(C) 37.42(F), 2007, Feb, Macedonia, MKD
3.02(C) 37.43(F), 2002, Mar, Lithuania, LTU
3.02(C) 37.44(F), 2002, Dec, Netherlands, NLD
3.02(C) 37.44(F), 2016, Nov, Slovakia, SVK
3.02(C) 37.44(F), 2006, May, Iceland, ISL
3.02(C) 37.44(F), 2011, Mar, Denmark, DNK
3.03(C) 37.45(F), 2010, Nov, Denmark, DNK
3.03(C) 37.45(F), 2012, Dec, Albania, ALB
3.03(C) 37.45(F), 2011, Jan, United Kingdom, GBR
3.03(C) 37.45(F), 2011, Nov, Austria, AUT
3.03(C) 37.46(F), 2001, Dec, Belgium, BEL
3.04(C) 37.46(F), 2000, Dec, Republic of Serbia, SRB
3.04(C) 37.47(F), 2015, Mar, Austria, AUT
3.04(C) 37.47(F), 2015, Nov, Armenia, ARM
3.04(C) 37.47(F), 2002, Mar, China, CHN
3.04(C) 37.47(F), 2013, Mar, Slovenia, SVN
3.04(C) 37.47(F), 2003, Mar, Austria, AUT
3.04(C) 37.47(F), 2009, Feb, Netherlands, NLD
3.04(C) 37.48(F), 2002, Feb, Afghanistan, AFG
3.04(C) 37.48(F), 2000, Jul, Chile, CHL
3.04(C) 37.48(F), 2010, Jan, Italy, ITA
3.05(C) 37.48(F), 2000, Jan, Andorra, AND
3.05(C) 37.49(F), 2010, Oct, Iceland, ISL
3.05(C) 37.49(F), 2014, Feb, Czech Republic, CZE
3.06(C) 37.5(F), 2010, Jul, Chile, CHL
3.06(C) 37.5(F), 2004, Jan, Faroe Islands, FRO
3.06(C) 37.51(F), 2013, Oct, Finland, FIN
3.06(C) 37.51(F), 2008, Dec, Bosnia and Herzegovina, BIH
3.07(C) 37.53(F), 2008, Dec, Bulgaria, BGR
3.07(C) 37.53(F), 2003, Nov, Latvia, LVA
3.07(C) 37.53(F), 2001, Oct, Norway, NOR
3.07(C) 37.53(F), 2013, Mar, Romania, ROU
3.08(C) 37.54(F), 2005, Nov, Poland, POL
3.08(C) 37.55(F), 2003, Mar, Bulgaria, BGR
3.08(C) 37.55(F), 2015, Oct, Mongolia, MNG
3.09(C) 37.56(F), 2013, Feb, Afghanistan, AFG
3.09(C) 37.56(F), 2008, Nov, Austria, AUT
3.09(C) 37.57(F), 2005, Jan, Denmark, DNK
3.09(C) 37.57(F), 2003, Feb, France, FRA
3.1(C) 37.58(F), 2006, Dec, Bosnia and Herzegovina, BIH
3.1(C) 37.58(F), 2001, Jan, Belgium, BEL
3.1(C) 37.58(F), 2007, Oct, Norway, NOR
3.11(C) 37.6(F), 2004, Dec, Afghanistan, AFG
3.11(C) 37.6(F), 2015, Mar, Switzerland, CHE
3.11(C) 37.6(F), 2014, Dec, Azerbaijan, AZE
3.11(C) 37.6(F), 2004, Feb, Monaco, MCO
3.11(C) 37.6(F), 2001, Jul, Chile, CHL
3.11(C) 37.61(F), 2000, Apr, Liechtenstein, LIE
3.11(C) 37.61(F), 2015, Feb, Belgium, BEL
3.12(C) 37.62(F), 2009, Feb, Turkey, TUR
3.12(C) 37.62(F), 2003, Jan, Andorra, AND
3.12(C) 37.62(F), 2010, Feb, Azerbaijan, AZE
3.13(C) 37.63(F), 2005, Jan, Italy, ITA
3.13(C) 37.63(F), 2003, Mar, Republic of Montenegro, MNE
3.14(C) 37.64(F), 2011, Nov, Poland, POL
3.14(C) 37.65(F), 2005, Feb, Faroe Islands, FRO
3.14(C) 37.65(F), 2016, Nov, Poland, POL
3.14(C) 37.65(F), 2011, Nov, Czech Republic, CZE
3.14(C) 37.65(F), 2001, Dec, Netherlands, NLD
3.14(C) 37.65(F), 2007, Jan, Turkmenistan, TKM
3.14(C) 37.65(F), 2011, Mar, Switzerland, CHE
3.14(C) 37.66(F), 2008, Feb, Poland, POL
3.14(C) 37.66(F), 2006, Nov, Belarus, BLR
3.14(C) 37.66(F), 2016, Nov, Czech Republic, CZE
3.15(C) 37.67(F), 2007, Jan, Czech Republic, CZE
3.15(C) 37.67(F), 2007, Jul, Chile, CHL
3.15(C) 37.68(F), 2000, Dec, Bulgaria, BGR
3.16(C) 37.68(F), 2004, Jan, Netherlands, NLD
3.16(C) 37.68(F), 2001, Nov, Hungary, HUN
3.16(C) 37.69(F), 2008, Nov, Lithuania, LTU
3.16(C) 37.69(F), 2000, Nov, Uzbekistan, UZB
3.16(C) 37.69(F), 2000, Apr, Faroe Islands, FRO
3.17(C) 37.7(F), 2013, Feb, Andorra, AND
3.17(C) 37.7(F), 2013, May, Iceland, ISL
3.18(C) 37.72(F), 2000, Feb, Hungary, HUN
3.18(C) 37.72(F), 2012, Mar, Japan, JPN
3.18(C) 37.72(F), 2003, Apr, Iceland, ISL
3.18(C) 37.73(F), 2010, Jan, Afghanistan, AFG
