10 Countries Whose Temperatures for January have Changed the Most from 2000 to 2016
Temperature, Year, Month_Avg, Country, Country_Code
3.36(C) 38.04(F), 2000-2016, Jan, Lesotho, LSO
3.41(C) 38.13(F), 2000-2016, Jan, Portugal, PRT
3.54(C) 38.37(F), 2000-2016, Jan, Spain, ESP
3.93(C) 39.07(F), 2000-2016, Jan, Lithuania, LTU
4.25(C) 39.65(F), 2000-2016, Jan, Greenland, GRL
4.64(C) 40.35(F), 2000-2016, Jan, Canada, CAN
4.7(C) 40.47(F), 2000-2016, Jan, Latvia, LVA
5.02(C) 41.04(F), 2000-2016, Jan, Norway, NOR
5.63(C) 42.13(F), 2000-2016, Jan, Sweden, SWE
5.99(C) 42.78(F), 2000-2016, Jan, Estonia, EST
6.9(C) 44.42(F), 2000-2016, Jan, Finland, FIN
